MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20211228,AZ,0.00,39.08,34.72,21.13,5.08,0.00,2021-12-28,2022-01-03,2
20211221,AZ,0.00,23.07,42.83,25.16,8.95,0.00,2021-12-21,2021-12-27,2
20211214,AZ,0.00,23.20,42.73,25.19,8.88,0.00,2021-12-14,2021-12-20,2
20211207,AZ,0.00,23.22,42.70,25.19,8.88,0.00,2021-12-07,2021-12-13,2
20211130,AZ,0.00,23.22,42.70,25.19,8.88,0.00,2021-11-30,2021-12-06,2
20211123,AZ,0.00,23.22,42.70,25.19,8.88,0.00,2021-11-23,2021-11-29,2
20211116,AZ,0.00,23.22,42.70,25.19,8.88,0.00,2021-11-16,2021-11-22,2
20211109,AZ,0.00,23.22,42.70,25.19,8.88,0.00,2021-11-09,2021-11-15,2
20211102,AZ,0.00,23.22,42.70,25.19,8.88,0.00,2021-11-02,2021-11-08,2
20211026,AZ,0.00,23.22,42.71,25.19,8.88,0.00,2021-10-26,2021-11-01,2
20211019,AZ,0.00,23.17,42.76,25.08,8.99,0.00,2021-10-19,2021-10-25,2
20211012,AZ,0.00,23.17,42.41,25.42,8.99,0.00,2021-10-12,2021-10-18,2
20211005,AZ,0.00,19.65,40.34,26.34,13.68,0.00,2021-10-05,2021-10-11,2
20210928,AZ,0.00,19.62,40.36,26.33,13.68,0.00,2021-09-28,2021-10-04,2
20210921,AZ,0.00,13.16,46.82,26.33,13.68,0.00,2021-09-21,2021-09-27,2
20210914,AZ,0.00,13.16,46.82,26.33,13.68,0.00,2021-09-14,2021-09-20,2
20210907,AZ,0.00,13.16,46.82,26.33,13.68,0.00,2021-09-07,2021-09-13,2
20210831,AZ,0.00,3.75,42.02,37.73,15.54,0.96,2021-08-31,2021-09-06,2
20210824,AZ,0.00,3.75,41.98,37.77,15.54,0.96,2021-08-24,2021-08-30,2
20210817,AZ,0.00,3.32,41.16,21.54,28.62,5.36,2021-08-17,2021-08-23,2
20210810,AZ,0.00,0.97,16.27,46.96,29.92,5.88,2021-08-10,2021-08-16,2
20210803,AZ,0.00,1.07,16.17,46.96,29.75,6.05,2021-08-03,2021-08-09,2
20210727,AZ,0.00,1.07,4.29,43.00,42.99,8.65,2021-07-27,2021-08-02,2
20210720,AZ,0.00,1.07,4.29,10.54,48.51,35.60,2021-07-20,2021-07-26,2
20210713,AZ,0.00,1.07,4.29,5.18,31.68,57.79,2021-07-13,2021-07-19,2
20210706,AZ,0.00,1.04,4.34,5.13,31.71,57.79,2021-07-06,2021-07-12,2
20210629,AZ,0.00,1.06,4.32,5.13,31.71,57.79,2021-06-29,2021-07-05,2
20210622,AZ,0.00,1.06,4.32,8.10,28.74,57.79,2021-06-22,2021-06-28,2
20210615,AZ,0.00,1.06,4.30,8.12,28.74,57.79,2021-06-15,2021-06-21,2
20210608,AZ,0.00,1.06,4.30,8.12,28.74,57.79,2021-06-08,2021-06-14,2
20210601,AZ,0.00,1.00,4.38,8.10,28.74,57.79,2021-06-01,2021-06-07,2
20210525,AZ,0.00,0.99,4.38,8.10,28.74,57.79,2021-05-25,2021-05-31,2
20210518,AZ,0.00,0.98,4.36,8.10,28.77,57.79,2021-05-18,2021-05-24,2
20210511,AZ,0.00,0.98,4.36,8.10,28.77,57.79,2021-05-11,2021-05-17,2
20210504,AZ,0.00,0.98,4.40,8.06,28.77,57.79,2021-05-04,2021-05-10,2
20210427,AZ,0.00,0.98,4.40,8.06,28.77,57.79,2021-04-27,2021-05-03,2
20210420,AZ,0.00,0.98,4.40,8.06,28.77,57.79,2021-04-20,2021-04-26,2
20210413,AZ,0.00,1.10,4.24,8.10,28.77,57.79,2021-04-13,2021-04-19,2
20210406,AZ,0.00,1.10,4.24,8.10,31.76,54.80,2021-04-06,2021-04-12,2
20210330,AZ,0.00,1.10,4.24,8.10,31.76,54.80,2021-03-30,2021-04-05,2
20210323,AZ,0.00,1.10,4.24,8.10,31.76,54.80,2021-03-23,2021-03-29,2
20210316,AZ,0.00,1.15,4.25,9.93,31.17,53.50,2021-03-16,2021-03-22,2
20210309,AZ,0.00,1.08,4.32,9.93,31.17,53.50,2021-03-09,2021-03-15,2
20210302,AZ,0.00,1.08,4.32,9.93,31.17,53.50,2021-03-02,2021-03-08,2
20210223,AZ,0.00,1.08,4.32,9.93,31.17,53.50,2021-02-23,2021-03-01,2
20210216,AZ,0.00,1.08,4.32,9.98,31.12,53.50,2021-02-16,2021-02-22,2
20210209,AZ,0.00,1.08,4.32,9.83,31.11,53.66,2021-02-09,2021-02-15,2
20210202,AZ,0.00,1.08,4.32,9.83,31.11,53.66,2021-02-02,2021-02-08,2
20210126,AZ,0.00,0.00,3.44,4.15,34.46,57.96,2021-01-26,2021-02-01,2
20210119,AZ,0.00,0.00,1.68,4.46,21.17,72.69,2021-01-19,2021-01-25,2
20210112,AZ,0.00,0.00,1.66,4.48,21.17,72.69,2021-01-12,2021-01-18,2
20210105,AZ,0.00,0.00,1.66,4.48,21.17,72.69,2021-01-05,2021-01-11,2
20201229,AZ,0.00,0.00,1.66,4.48,21.17,72.69,2020-12-29,2021-01-04,2
20211228,CA,0.00,0.00,13.72,53.35,32.10,0.84,2021-12-28,2022-01-03,2
20211221,CA,0.00,0.00,7.56,13.00,56.33,23.11,2021-12-21,2021-12-27,2
20211214,CA,0.00,0.00,7.57,12.15,52.01,28.27,2021-12-14,2021-12-20,2
20211207,CA,0.00,0.00,7.57,12.15,52.01,28.27,2021-12-07,2021-12-13,2
20211130,CA,0.00,0.00,7.57,12.15,52.01,28.27,2021-11-30,2021-12-06,2
20211123,CA,0.00,0.00,7.57,12.15,52.01,28.27,2021-11-23,2021-11-29,2
20211116,CA,0.00,0.00,7.57,12.15,42.66,37.62,2021-11-16,2021-11-22,2
20211109,CA,0.00,0.00,7.57,12.15,42.66,37.62,2021-11-09,2021-11-15,2
20211102,CA,0.00,0.00,6.19,10.48,44.59,38.74,2021-11-02,2021-11-08,2
20211026,CA,0.00,0.00,6.19,10.48,44.59,38.74,2021-10-26,2021-11-01,2
20211019,CA,0.00,0.00,6.19,6.63,41.52,45.66,2021-10-19,2021-10-25,2
20211012,CA,0.00,0.00,6.07,6.75,41.52,45.66,2021-10-12,2021-10-18,2
20211005,CA,0.00,0.00,6.07,6.05,42.22,45.66,2021-10-05,2021-10-11,2
20210928,CA,0.00,0.00,6.07,6.05,42.22,45.66,2021-09-28,2021-10-04,2
20210921,CA,0.00,0.00,6.07,6.05,42.22,45.66,2021-09-21,2021-09-27,2
20210914,CA,0.00,0.00,6.07,5.99,42.28,45.66,2021-09-14,2021-09-20,2
20210907,CA,0.00,0.00,6.07,5.99,42.28,45.66,2021-09-07,2021-09-13,2
20210831,CA,0.00,0.00,4.44,7.19,40.98,47.40,2021-08-31,2021-09-06,2
20210824,CA,0.00,0.00,4.42,7.21,40.98,47.40,2021-08-24,2021-08-30,2
20210817,CA,0.00,0.00,4.42,7.21,39.40,48.97,2021-08-17,2021-08-23,2
20210810,CA,0.00,0.00,4.93,6.69,41.28,47.10,2021-08-10,2021-08-16,2
20210803,CA,0.00,0.00,4.93,6.69,41.93,46.45,2021-08-03,2021-08-09,2
20210727,CA,0.00,0.00,4.91,6.50,42.10,46.49,2021-07-27,2021-08-02,2
20210720,CA,0.00,0.00,5.25,9.00,52.33,33.42,2021-07-20,2021-07-26,2
