MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20211228,AZ,0.00,39.08,34.72,21.13,5.08,0.00,2021-12-28,2022-01-03,2
20211221,AZ,0.00,23.07,42.83,25.16,8.95,0.00,2021-12-21,2021-12-27,2
20211214,AZ,0.00,23.20,42.73,25.19,8.88,0.00,2021-12-14,2021-12-20,2
20211207,AZ,0.00,23.22,42.70,25.19,8.88,0.00,2021-12-07,2021-12-13,2
20211130,AZ,0.00,23.22,42.70,25.19,8.88,0.00,2021-11-30,2021-12-06,2
20211123,AZ,0.00,23.22,42.70,25.19,8.88,0.00,2021-11-23,2021-11-29,2
20211116,AZ,0.00,23.22,42.70,25.19,8.88,0.00,2021-11-16,2021-11-22,2
20211109,AZ,0.00,23.22,42.70,25.19,8.88,0.00,2021-11-09,2021-11-15,2
20211102,AZ,0.00,23.22,42.70,25.19,8.88,0.00,2021-11-02,2021-11-08,2
20211026,AZ,0.00,23.22,42.71,25.19,8.88,0.00,2021-10-26,2021-11-01,2
20211019,AZ,0.00,23.17,42.76,25.08,8.99,0.00,2021-10-19,2021-10-25,2
20211012,AZ,0.00,23.17,42.41,25.42,8.99,0.00,2021-10-12,2021-10-18,2
20211005,AZ,0.00,19.65,40.34,26.34,13.68,0.00,2021-10-05,2021-10-11,2
20210928,AZ,0.00,19.62,40.36,26.33,13.68,0.00,2021-09-28,2021-10-04,2
20210921,AZ,0.00,13.16,46.82,26.33,13.68,0.00,2021-09-21,2021-09-27,2
20210914,AZ,0.00,13.16,46.82,26.33,13.68,0.00,2021-09-14,2021-09-20,2
20210907,AZ,0.00,13.16,46.82,26.33,13.68,0.00,2021-09-07,2021-09-13,2
20210831,AZ,0.00,3.75,42.02,37.73,15.54,0.96,2021-08-31,2021-09-06,2
20210824,AZ,0.00,3.75,41.98,37.77,15.54,0.96,2021-08-24,2021-08-30,2
20210817,AZ,0.00,3.32,41.16,21.54,28.62,5.36,2021-08-17,2021-08-23,2
20210810,AZ,0.00,0.97,16.27,46.96,29.92,5.88,2021-08-10,2021-08-16,2
20210803,AZ,0.00,1.07,16.17,46.96,29.75,6.05,2021-08-03,2021-08-09,2
20210727,AZ,0.00,1.07,4.29,43.00,42.99,8.65,2021-07-27,2021-08-02,2
20210720,AZ,0.00,1.07,4.29,10.54,48.51,35.60,2021-07-20,2021-07-26,2
20210713,AZ,0.00,1.07,4.29,5.18,31.68,57.79,2021-07-13,2021-07-19,2
20210706,AZ,0.00,1.04,4.34,5.13,31.71,57.79,2021-07-06,2021-07-12,2
20210629,AZ,0.00,1.06,4.32,5.13,31.71,57.79,2021-06-29,2021-07-05,2
20210622,AZ,0.00,1.06,4.32,8.10,28.74,57.79,2021-06-22,2021-06-28,2
20210615,AZ,0.00,1.06,4.30,8.12,28.74,57.79,2021-06-15,2021-06-21,2
20210608,AZ,0.00,1.06,4.30,8.12,28.74,57.79,2021-06-08,2021-06-14,2
20210601,AZ,0.00,1.00,4.38,8.10,28.74,57.79,2021-06-01,2021-06-07,2
20210525,AZ,0.00,0.99,4.38,8.10,28.74,57.79,2021-05-25,2021-05-31,2
20210518,AZ,0.00,0.98,4.36,8.10,28.77,57.79,2021-05-18,2021-05-24,2
20210511,AZ,0.00,0.98,4.36,8.10,28.77,57.79,2021-05-11,2021-05-17,2
20210504,AZ,0.00,0.98,4.40,8.06,28.77,57.79,2021-05-04,2021-05-10,2
20210427,AZ,0.00,0.98,4.40,8.06,28.77,57.79,2021-04-27,2021-05-03,2
20210420,AZ,0.00,0.98,4.40,8.06,28.77,57.79,2021-04-20,2021-04-26,2
20210413,AZ,0.00,1.10,4.24,8.10,28.77,57.79,2021-04-13,2021-04-19,2
20210406,AZ,0.00,1.10,4.24,8.10,31.76,54.80,2021-04-06,2021-04-12,2
20210330,AZ,0.00,1.10,4.24,8.10,31.76,54.80,2021-03-30,2021-04-05,2
20210323,AZ,0.00,1.10,4.24,8.10,31.76,54.80,2021-03-23,2021-03-29,2
20210316,AZ,0.00,1.15,4.25,9.93,31.17,53.50,2021-03-16,2021-03-22,2
20210309,AZ,0.00,1.08,4.32,9.93,31.17,53.50,2021-03-09,2021-03-15,2
20210302,AZ,0.00,1.08,4.32,9.93,31.17,53.50,2021-03-02,2021-03-08,2
20210223,AZ,0.00,1.08,4.32,9.93,31.17,53.50,2021-02-23,2021-03-01,2
20210216,AZ,0.00,1.08,4.32,9.98,31.12,53.50,2021-02-16,2021-02-22,2
20210209,AZ,0.00,1.08,4.32,9.83,31.11,53.66,2021-02-09,2021-02-15,2
20210202,AZ,0.00,1.08,4.32,9.83,31.11,53.66,2021-02-02,2021-02-08,2
20210126,AZ,0.00,0.00,3.44,4.15,34.46,57.96,2021-01-26,2021-02-01,2
20210119,AZ,0.00,0.00,1.68,4.46,21.17,72.69,2021-01-19,2021-01-25,2
20210112,AZ,0.00,0.00,1.66,4.48,21.17,72.69,2021-01-12,2021-01-18,2
20210105,AZ,0.00,0.00,1.66,4.48,21.17,72.69,2021-01-05,2021-01-11,2
20201229,AZ,0.00,0.00,1.66,4.48,21.17,72.69,2020-12-29,2021-01-04,2
20201222,AZ,0.00,0.00,1.66,4.48,21.17,72.69,2020-12-22,2020-12-28,2
20201215,AZ,0.00,0.00,1.66,4.48,21.17,72.69,2020-12-15,2020-12-21,2
20201208,AZ,0.00,0.00,1.65,5.53,16.01,76.81,2020-12-08,2020-12-14,2
20201201,AZ,0.00,0.00,1.65,5.53,16.01,76.81,2020-12-01,2020-12-07,2
20201124,AZ,0.00,0.00,1.65,5.53,20.99,71.83,2020-11-24,2020-11-30,2
20201117,AZ,0.00,0.00,4.94,10.31,51.94,32.81,2020-11-17,2020-11-23,2
20201110,AZ,0.00,0.00,4.94,10.31,65.25,19.50,2020-11-10,2020-11-16,2
20201103,AZ,0.00,0.00,4.99,11.16,75.15,8.70,2020-11-03,2020-11-09,2
20201027,AZ,0.00,0.00,4.99,11.16,75.15,8.70,2020-10-27,2020-11-02,2
20201020,AZ,0.00,0.00,4.99,11.16,75.15,8.70,2020-10-20,2020-10-26,2
20201013,AZ,0.00,0.00,4.99,17.28,70.86,6.86,2020-10-13,2020-10-19,2
20201006,AZ,0.00,0.00,4.99,17.28,70.86,6.86,2020-10-06,2020-10-12,2
20200929,AZ,0.00,0.00,6.03,24.02,66.58,3.37,2020-09-29,2020-10-05,2
20200922,AZ,0.00,0.00,9.33,33.33,57.34,0.00,2020-09-22,2020-09-28,2
20200915,AZ,0.00,0.00,9.33,33.33,57.34,0.00,2020-09-15,2020-09-21,2
20200908,AZ,0.00,2.54,8.03,32.97,56.45,0.00,2020-09-08,2020-09-14,2
20200901,AZ,0.00,2.55,15.29,39.91,42.25,0.00,2020-09-01,2020-09-07,2
20200825,AZ,0.00,2.55,15.09,40.11,42.25,0.00,2020-08-25,2020-08-31,2
20200818,AZ,0.00,9.81,15.55,73.95,0.68,0.00,2020-08-18,2020-08-24,2
20200811,AZ,6.42,11.85,55.32,26.42,0.00,0.00,2020-08-11,2020-08-17,2
20200804,AZ,6.42,11.90,55.92,25.76,0.00,0.00,2020-08-04,2020-08-10,2
20200728,AZ,14.30,38.81,30.90,15.99,0.00,0.00,2020-07-28,2020-08-03,2
20200721,AZ,14.30,49.31,29.60,6.79,0.00,0.00,2020-07-21,2020-07-27,2
