year,AZ,CA,CO,NM,WY
1985,7186.964554002597,41919.01260507892,15150.744328940298,3678.4236177084676,6943.742520753335
1986,7186.917444988731,41100.169434050644,14376.335881041347,3719.9100952814815,7389.640724784964
1987,7208.374045583719,40420.62953056041,13962.987633548371,3766.324077633577,7773.877842551732
1988,7247.013605122316,39885.898800522635,13842.608580414018,3814.4164689204285,8090.260494577133
1989,7298.51537293928,39501.483149851745,13947.107715590937,3860.9381732977113,8332.59530138466
1990,7358.558598369362,39272.88848446214,14208.394033031778,3902.6400949210997,8494.688883497807
1991,7422.822530747327,39205.6207102683,14558.376526689202,3936.2731379462734,8570.347861440076
1992,7486.986419407923,39305.18573318458,14928.96419051585,3958.5882065289034,8553.378855734956
1993,7546.729513685913,39577.08945912546,15252.066018464382,3966.336204824668,8437.588486905945
1994,7597.731062916051,40026.83779400535,15459.591004487447,3956.2680369892423,8216.783375476538
1995,7635.670316433088,40659.936643738634,15483.448142537693,3925.1346071783,7884.770141970224
1996,7656.615210457576,41451.972110050694,15285.155229153595,3872.1674370557807,7444.953976356284
1997,7658.188428753207,42258.85107791044,14944.665271216929,3806.5205183186704,6939.134346387107
1998,7638.401341969457,42906.56062809771,14571.540078195269,3739.8284601722157,6418.709289260855
1999,7595.265320755803,43221.08784139232,14275.341459556203,3683.7258718216626,5935.076842175695
2000,7526.791735761732,43028.41979857415,14165.631224767321,3649.847362472263,5539.635042329797
2001,7433.126986088721,42222.02131243679,14312.367868029947,3645.9688603908044,5269.897751796465
2002,7322.95758464626,40965.26812382903,14627.096622480361,3664.431570090253,5107.842132149553
2003,7207.105072795824,39489.01370561341,14981.759405988561,3693.7180151451125,5021.5611698380535
2004,7096.390991898903,38024.1115306525,15248.29813642456,3722.3107191298923,4979.14785131096
2005,7001.636883316984,36801.41507180888,15298.65473165838,3738.6922056191,4948.695163017266
2006,6931.049535230959,35991.76553925013,15040.570493518184,3733.7948697334405,4909.027860144074
2007,6882.376723099339,35525.955092364005,14524.98425966475,3708.3505927784126,4881.897772830925
2008,6850.751469200058,35274.76362784332,13838.634251717038,3665.5411276057184,4899.788499955471
2009,6831.30679581104,35108.971042380894,13068.258691293995,3608.5482270670573,4995.183640395369
2010,6819.175725210207,34899.35723266949,12300.595800014562,3540.5536440141277,5200.566793028266
2011,6809.491279675491,34516.70209540196,11622.383799497697,3464.7391312986315,5548.42155673182
2012,6797.386481484811,33831.78552727108,11120.360911362339,3384.2864417722662,6071.231530383679
2013,6777.994352916096,32715.38742496966,10881.265357227436,3302.3773282867314,6801.480312861496
2014,6746.447916247273,31038.287685190502,10991.835358711936,3222.1935436937274,7771.6515030429255
2015,6697.880193756265,28671.266204626423,11538.809137434791,3146.916840844955,9014.22869980562
